ID Réponse,Date,Phase,Type de territoire,Arrondissement / Ville liée,Statut du commerce,Enjeux: Soutien financier?,Enjeux: Maintien des opérations?,Enjeux: Fiscalité (taxes et impôts)?,Enjeux: Ressources humaines?,Enjeux: Réglementation?,Enjeux: Marketing?,Enjeux: Santé et sécurité?,Enjeux: Recherche d'équipement sanitaire?,Enjeux: Aménagement de l'espace?,Enjeux: Permis pour les terrasses extérieures?,Enjeux: Autre?,Intérêt pour le programme d'aide d'urgence?,Présence sur les médias sociaux?,Présence sur Facebook?,Présence sur Twitter?,Présence sur Instagram?,Présence sur LinkedIn?,Faites-vous de la vente en ligne?,Canal de vente en ligne,Connaissez-vous le service de livraison urbaine?,Êtes-vous intéressé par le service de livraison urbaine?,Intérêt pour le programme d'accompagnement pour le virage numérique des entreprises?,Offrez-vous un service de livraison?,Êtes-vous satisfait de votre service de livraison actuel?,Seriez-vous intéressé par le service de livraison urbain (à vélo) mise en place par la Ville de Montréal et ses partenaires si vous si aviez accès?,Est-ce que l'information que nous vous avons donnée vous a été utile?
1576,2020-08-28,4,,,Partiellement ouvert,,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non,Non applicable,Non applicable,Oui
1577,2020-08-28,4,,,Ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,Oui,,Oui,Réponse inconnue,Sans réponse,Sans réponse,Oui,Oui (via un tiers),Satisfait,Oui,Oui
1578,2020-08-28,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1579,2020-08-28,4,,,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Non,Sans réponse
1580,2020-08-28,4,,,Partiellement ouvert,,Oui,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Oui (service maison),Satisfait,Oui,Oui
1581,2020-08-28,4,,,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1582,2020-08-28,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1583,2020-08-28,4,,,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1584,2020-08-28,4,,,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non,Non applicable,Non,Oui
1585,2020-08-28,4,,,Partiellement ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1586,2020-08-28,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1587,2020-08-28,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non applicable,Sans réponse,Oui,Oui
1588,2020-08-28,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non,Non applicable,Oui,Oui
1589,2020-08-28,4,,,Partiellement ouvert,,,,,,Oui,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Oui,Oui (service maison),Satisfait,Non,Oui
1590,2020-08-28,4,,,Ouvert,Oui,,Oui,Oui,,,,,,,Oui,Oui,Non,,,,,Non applicable,Non applicable,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1591,2020-08-28,4,,,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Oui,Oui (service maison),Moyennement satisfait,Oui,Sans réponse
1592,2020-08-28,4,,,Partiellement ouvert,Oui,,,Oui,,,,,,,Oui,Non,Non,,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Non applicable,Sans réponse,Non,Non
1593,2020-08-28,4,,,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Non applicable,Sans réponse,Non applicable,Sans réponse
1594,2020-08-28,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1595,2020-08-28,4,,,Ouvert,Oui,,Oui,,,Oui,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non,Non applicable,Non applicable,Oui
1596,2020-08-28,2,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Ouvert,,,,,,Oui,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non,Non applicable,Sans réponse,Oui
1597,2020-08-28,2,Ville liée,Dollard-des-Ormeaux,Ouvert,,,,,,,,Oui,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Non applicable,Sans réponse,Non applicable,Oui
1598,2020-08-28,4,,,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Oui,Non,Non applicable,Oui,Oui
1599,2020-08-28,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non,Non applicable,Non,Oui
1600,2020-08-28,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non,Non applicable,Non,Oui
1601,2020-08-28,1,,,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1602,2020-08-28,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Réponse inconnue,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Oui (via un tiers),Moyennement satisfait,Non,Oui
1603,2020-08-28,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1604,2020-08-28,2,Arrondissement,Rivière-des-Prairies-Pointe-aux-Trembles,Ouvert,,,,,,Oui,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non,Non applicable,Oui,Oui
1605,2020-08-28,1,,,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1606,2020-08-28,4,,,Partiellement ouvert,Oui,,,Oui,,Oui,,,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non applicable,Sans réponse,Non applicable,Oui
1607,2020-08-28,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non,Non applicable,Non,Oui
1608,2020-08-28,1,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1609,2020-08-28,4,,,Partiellement ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,Oui,Oui (service maison),Moyennement satisfait,Oui,Oui
1610,2020-08-28,1,,,Partiellement ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Non,Non applicable,Non,Oui
1611,2020-08-28,1,,,Ouvert,,Oui,,,,Oui,,,,,,Oui,Non,,,,,Non applicable,Non applicable,Sans réponse,Sans réponse,Oui,Oui (via un tiers),Satisfait,Non applicable,Oui
1612,2020-08-28,4,,,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1613,2020-08-28,1,,,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Oui,Oui (via un tiers),Moyennement satisfait,Sans réponse,Oui
1614,2020-08-28,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1615,2020-08-28,4,,,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Non
1616,2020-08-31,4,,,Partiellement ouvert,,Oui,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Oui (service maison),Sans réponse,Non applicable,Oui
1617,2020-08-31,4,,,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1618,2020-08-31,4,,,Ouvert,,,,,,,,,,Oui,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Oui (via un tiers),Satisfait,Non applicable,Oui
1619,2020-08-31,1,,,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1620,2020-08-31,1,,,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1621,2020-08-31,4,,,Partiellement ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1622,2020-08-31,4,,,Statut inconnu,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1623,2020-08-31,1,,,Ouvert,,Oui,,Oui,,,,,,,Oui,Oui,Oui,Oui,,Oui,,Non applicable,Non applicable,Sans réponse,Sans réponse,Oui,Oui (via un tiers),Satisfait,Non applicable,Oui
1624,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1625,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non,Non applicable,Oui,Oui
1626,2020-08-31,4,,,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Sans réponse,Sans réponse,Sans réponse,Oui
1627,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non,Oui
1628,2020-08-31,4,,,Ouvert,Oui,,,Oui,,Oui,,,,,Oui,Oui,Non,,,,,Non applicable,Non applicable,Sans réponse,Sans réponse,Oui,Non applicable,Sans réponse,Non applicable,Oui
1629,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1630,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non applicable,Sans réponse,Non applicable,Oui
1631,2020-08-31,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1632,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non applicable,Sans réponse,Non applicable,Oui
1633,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non,Non applicable,Non applicable,Oui
1634,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non applicable,Sans réponse,Oui,Oui
1635,2020-08-31,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1636,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Sans réponse,Sans réponse,Non applicable,Oui
1637,2020-08-31,4,,,Ouvert,,,,,,Oui,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Sans réponse,Sans réponse,Sans réponse,Oui
1638,2020-08-31,4,,,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non applicable,Non applicable,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Non applicable,Sans réponse,Non applicable,Sans réponse
1639,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1640,2020-08-31,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1641,2020-08-31,1,,,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1642,2020-08-31,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1643,2020-08-31,4,,,Ouvert,,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non applicable,Sans réponse,Non applicable,Oui
1644,2020-08-31,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1645,2020-09-01,4,,,Partiellement ouvert,Oui,Oui,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1646,2020-09-01,4,,,Ouvert,,,,,,Oui,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Oui,Sans réponse,Sans réponse,Sans réponse,Oui
1647,2020-09-01,4,,,Ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non applicable,Sans réponse,Non applicable,Oui
1648,2020-09-01,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non,Non applicable,Non,Oui
1649,2020-09-01,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1650,2020-09-01,4,,,Ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non,Non applicable,Oui,Oui
1651,2020-09-01,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non,Non applicable,Non,Oui
1652,2020-09-01,1,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non,Non applicable,Non applicable,Oui
1653,2020-09-01,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1654,2020-09-01,4,,,Ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Oui (via un tiers),Moyennement satisfait,Non,Oui
1655,2020-09-01,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1656,2020-09-01,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1657,2020-09-01,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non applicable,Sans réponse,Oui,Oui
1658,2020-09-01,4,,,Ouvert,Oui,,Oui,,,,,,,,,Sans réponse,Non,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non applicable,Sans réponse,Non,Oui
1659,2020-09-01,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1660,2020-09-01,4,,,Ouvert,Oui,,,,,,,,,,,Sans réponse,Oui,Oui,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non applicable,Sans réponse,Oui,Oui
1661,2020-09-01,4,,,Partiellement ouvert,Oui,,,,,,,Oui,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1662,2020-09-01,4,,,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Oui,Sans réponse,Sans réponse,Non applicable,Sans réponse
1663,2020-09-01,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non applicable,Non applicable,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1664,2020-09-01,4,,,Ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Oui,Réponse inconnue,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Oui (via un tiers),Moyennement satisfait,Oui,Oui
1665,2020-09-01,4,,,Partiellement ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Sans réponse,Sans réponse,Non applicable,Oui
1666,2020-09-01,4,,,Ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Non applicable,Non
1667,2020-09-01,4,,,Statut inconnu,Oui,,,,,Oui,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Sans réponse,Sans réponse,Sans réponse,Oui
1668,2020-09-01,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1669,2020-09-01,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1670,2020-09-01,1,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Je ne sais pas,Oui (via un tiers),Sans réponse,Non,Oui
1671,2020-09-01,4,,,Ouvert,,Oui,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non applicable,Sans réponse,Non applicable,Oui
1672,2020-09-01,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Oui
1673,2020-09-01,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Non applicable,Sans réponse,Non applicable,Oui
1674,2020-09-01,1,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1675,2020-09-01,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1676,2020-09-01,1,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,Oui,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Oui (service maison),Satisfait,Sans réponse,Non
1677,2020-09-01,4,,,Ouvert,,Oui,,,,,,,,,,Non,Oui,Oui,,Oui,,Non applicable,Non applicable,Sans réponse,Sans réponse,Oui,Non applicable,Sans réponse,Non applicable,Oui
1678,2020-09-01,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Oui,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Sans réponse,Sans réponse,Non applicable,Oui
1679,2020-09-01,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1680,2020-09-01,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1681,2020-09-01,4,,,Ouvert,,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Oui (via un tiers),Satisfait,Non applicable,Oui
1682,2020-09-01,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Sans réponse
1683,2020-09-01,4,,,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1684,2020-09-01,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Non applicable,Oui
1685,2020-09-01,4,,,Ouvert,,,,Oui,,,,,,,Oui,Non,Oui,Oui,Oui,Oui,,Oui,Site transactionnel,Sans réponse,Sans réponse,Oui,Non applicable,Sans réponse,Non applicable,Oui
1686,2020-09-01,4,,,Partiellement ouvert,Oui,,,,,,,,,Oui,,Oui,Oui,Oui,,Oui,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Oui,Oui (via un tiers),Moyennement satisfait,Non applicable,Oui
1687,2020-09-01,4,,,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse
1688,2020-09-01,4,,,Partiellement ouvert,Oui,,,,,Oui,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non,Non applicable,Non applicable,Oui
1689,2020-09-01,4,,,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Non applicable,Sans réponse,Oui,Oui
1690,2020-09-01,4,,,Ouvert,,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non,Non applicable,Non applicable,Oui
1691,2020-09-01,4,,,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Non applicable,Sans réponse,Non applicable,Oui
